+-----+-------------------------------------------------------+-------------------+---------------+----------------+------------+------------+----------+----------+----------+------------+---------+----------+------------+
|     | Name                                                  | Shape             |   NNZ (dense) |   NNZ (sparse) |   Cols (%) |   Rows (%) |   Ch (%) |   2D (%) |   3D (%) |   Fine (%) |     Std |     Mean |   Abs-Mean |
|  93 | module.features.denseblock4.denselayer3.conv2.weight  | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00125 |  0.00012 |    0.00014 |
|  94 | module.features.denseblock4.denselayer4.conv1.weight  | (128, 608, 1, 1)  |         77824 |          77824 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00040 |  0.00002 |    0.00003 |
|  95 | module.features.denseblock4.denselayer4.conv2.weight  | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00086 |  0.00005 |    0.00006 |
|  96 | module.features.denseblock4.denselayer5.conv1.weight  | (128, 640, 1, 1)  |         81920 |          81920 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00056 |  0.00004 |    0.00005 |
|  97 | module.features.denseblock4.denselayer5.conv2.weight  | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00131 |  0.00011 |    0.00013 |
|  98 | module.features.denseblock4.denselayer6.conv1.weight  | (128, 672, 1, 1)  |         86016 |          86016 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00055 |  0.00005 |    0.00006 |
|  99 | module.features.denseblock4.denselayer6.conv2.weight  | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00129 |  0.00015 |    0.00017 |
| 100 | module.features.denseblock4.denselayer7.conv1.weight  | (128, 704, 1, 1)  |         90112 |          90112 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00046 |  0.00002 |    0.00004 |
| 101 | module.features.denseblock4.denselayer7.conv2.weight  | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00114 |  0.00008 |    0.00012 |
| 102 | module.features.denseblock4.denselayer8.conv1.weight  | (128, 736, 1, 1)  |         94208 |          94208 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00035 |  0.00002 |    0.00003 |
| 103 | module.features.denseblock4.denselayer8.conv2.weight  | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00080 |  0.00004 |    0.00007 |
| 104 | module.features.denseblock4.denselayer9.conv1.weight  | (128, 768, 1, 1)  |         98304 |          98304 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00043 |  0.00003 |    0.00003 |
| 105 | module.features.denseblock4.denselayer9.conv2.weight  | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00115 |  0.00010 |    0.00012 |
| 106 | module.features.denseblock4.denselayer10.conv1.weight | (128, 800, 1, 1)  |        102400 |         102400 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00045 |  0.00003 |    0.00004 |
| 107 | module.features.denseblock4.denselayer10.conv2.weight | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00123 |  0.00011 |    0.00013 |
| 108 | module.features.denseblock4.denselayer11.conv1.weight | (128, 832, 1, 1)  |        106496 |         106496 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00042 |  0.00003 |    0.00003 |
| 109 | module.features.denseblock4.denselayer11.conv2.weight | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00126 |  0.00012 |    0.00013 |
| 110 | module.features.denseblock4.denselayer12.conv1.weight | (128, 864, 1, 1)  |        110592 |         110592 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00040 |  0.00003 |    0.00004 |
| 111 | module.features.denseblock4.denselayer12.conv2.weight | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00100 |  0.00008 |    0.00011 |
| 112 | module.features.denseblock4.denselayer13.conv1.weight | (128, 896, 1, 1)  |        114688 |         114688 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00043 |  0.00003 |    0.00004 |
