parameter,sparsity,nat_top1,nat_top5,nat_loss,adv_top1,adv_top5,adv_loss,variance
module.basic_model.model.6.0.weight,0.35000000000000003,69.30199999999999,88.844,1.2943081010707445,0.18200000000000438,2.1279999999999966,28.61504007865433,0.2789316475391388
module.basic_model.model.6.0.weight,0.4,68.916,88.488,1.3137315558609237,0.16199999999999548,2.068000000000003,28.328645977086172,0.2789316475391388
module.basic_model.model.6.0.weight,0.45,68.188,88.036,1.3420694257613572,0.17800000000000038,2.0340000000000025,28.109625172630324,0.2789316475391388
module.basic_model.model.6.0.weight,0.5,67.072,87.33999999999999,1.3926663767887235,0.15199999999999658,1.8920000000000048,28.12475862887451,0.2789316475391388
module.basic_model.model.6.0.weight,0.55,64.152,85.33,1.521856761939695,0.12999999999999678,1.4499999999999957,29.173786780808232,0.2789316475391388
module.basic_model.model.6.0.weight,0.6000000000000001,61.224000000000004,83.35000000000001,1.6601260868845586,0.12400000000000189,1.2639999999999985,29.160111721402476,0.2789316475391388
module.basic_model.model.6.0.weight,0.65,52.117999999999995,76.46,2.13292233103449,0.08599999999999719,0.8220000000000005,29.16392291942163,0.2789316475391388
module.basic_model.model.6.0.weight,0.7000000000000001,46.306000000000004,71.158,2.4609322433508245,0.06800000000000139,0.6340000000000012,27.318213545810814,0.2789316475391388
module.basic_model.model.6.0.weight,0.75,19.796000000000003,39.410000000000004,4.619145939232665,0.051999999999996493,0.29200000000000337,23.225179084050506,0.2789316475391388
module.basic_model.model.6.0.weight,0.8,5.054000000000003,12.961999999999996,6.957360990598122,0.034000000000000696,0.13400000000000079,18.659485006973068,0.2789316475391388
module.basic_model.model.6.0.weight,0.8500000000000001,2.188000000000001,6.333999999999995,7.288969937838278,0.034000000000000696,0.09599999999999609,14.126374589123184,0.2789316475391388
module.basic_model.model.6.0.weight,0.9,0.18799999999999928,1.0739999999999972,10.380049651830674,0.06599999999999939,0.14600000000000168,13.397410397642458,0.2789316475391388
module.basic_model.model.6.3.weight,0.0,69.57,89.072,1.2836479661331996,0.19400000000000528,2.314000000000005,28.751074666177608,0.2678973972797394
module.basic_model.model.6.3.weight,0.05,69.57,89.072,1.2836479661331996,0.20200000000000218,2.2580000000000044,28.761041919466663,0.2678973972797394
module.basic_model.model.6.3.weight,0.1,69.57,89.072,1.2836479661331996,0.20400000000000418,2.2560000000000024,28.755202012724055,0.2678973972797394
module.basic_model.model.6.3.weight,0.15000000000000002,69.57,89.072,1.2836479661331996,0.19599999999999618,2.2460000000000035,28.75538341402626,0.2678973972797394
