Name,Shape,NNZ (dense),NNZ (sparse),Cols (%),Rows (%),Ch (%),2D (%),3D (%),Fine (%),Std,Mean,Abs-Mean
module.Mixed_5c.branch3x3dbl_3.conv.weight,"(96, 96, 3, 3)",82944,82944,0,0,0.0,0.0,0.0,0.0,0.0033333622850477695,-9.737262735143304e-05,0.0017909181769937277
module.Mixed_5c.branch_pool.conv.weight,"(64, 256, 1, 1)",16384,16384,0,0,0.0,0.0,0.0,0.0,0.0013749353820458055,-4.279857239453122e-05,0.00042389542795717716
module.Mixed_5d.branch1x1.conv.weight,"(64, 288, 1, 1)",18432,18432,0,0,0.0,0.0,0.0,0.0,0.005886885803192854,0.00019220223475713283,0.002579840598627925
module.Mixed_5d.branch5x5_1.conv.weight,"(48, 288, 1, 1)",13824,13824,0,0,0.0,0.0,0.0,0.0,0.008329490199685097,-0.0002631684474181384,0.004345710389316082
module.Mixed_5d.branch5x5_2.conv.weight,"(64, 48, 5, 5)",76800,76800,0,0,0.0,0.0,0.0,0.0,0.004602381028234959,-0.0002552836376708001,0.0032112521585077047
module.Mixed_5d.branch3x3dbl_1.conv.weight,"(64, 288, 1, 1)",18432,18432,0,0,0.0,0.0,0.0,0.0,0.005735342390835285,2.8228500013938174e-05,0.002726448467001319
module.Mixed_5d.branch3x3dbl_2.conv.weight,"(96, 64, 3, 3)",55296,55296,0,0,0.0,0.0,0.0,0.0,0.0035222982987761497,-3.0212648198357783e-05,0.0019250394543632865
module.Mixed_5d.branch3x3dbl_3.conv.weight,"(96, 96, 3, 3)",82944,82944,0,0,0.0,0.0,0.0,0.0,0.003334369510412216,-2.9793074645567685e-05,0.001978842541575432
module.Mixed_5d.branch_pool.conv.weight,"(64, 288, 1, 1)",18432,18432,0,0,0.0,0.0,0.0,0.0,0.0030237191822379827,9.123615018324926e-05,0.000982191995717585
module.Mixed_6a.branch3x3.conv.weight,"(384, 288, 3, 3)",995328,995328,0,0,0.0,0.0,0.0,0.0,0.0005539467674680054,4.9892269089468755e-06,0.0002427308791084215
module.Mixed_6a.branch3x3dbl_1.conv.weight,"(64, 288, 1, 1)",18432,18432,0,0,0.0,0.0,0.0,0.0,7.371018728008494e-05,9.692013918538578e-06,5.997477637720294e-05
module.Mixed_6a.branch3x3dbl_2.conv.weight,"(96, 64, 3, 3)",55296,55296,0,0,0.0,0.0,0.0,0.0,4.69556798634585e-05,7.099813956301659e-06,3.899908915627748e-05
module.Mixed_6a.branch3x3dbl_3.conv.weight,"(96, 96, 3, 3)",82944,82944,0,0,0.0,0.0,0.0,0.0,3.909715451300144e-05,2.487509618731565e-06,3.201520667062141e-05
module.Mixed_6b.branch1x1.conv.weight,"(192, 768, 1, 1)",147456,147456,0,0,0.0,0.0,0.0,0.0,0.0032555600628256798,5.273095302982256e-05,0.0013412650441750884
module.Mixed_6b.branch7x7_1.conv.weight,"(128, 768, 1, 1)",98304,98304,0,0,0.0,0.0,0.0,0.0,0.0038191277999430895,7.558075594715774e-05,0.0016938855405896902
module.Mixed_6b.branch7x7_2.conv.weight,"(128, 128, 1, 7)",114688,114688,0,0,0.0,0.0,0.0,0.0,0.004155164584517479,3.631636354839429e-05,0.0027187031228095293
module.Mixed_6b.branch7x7_3.conv.weight,"(192, 128, 7, 1)",172032,172032,0,0,0.0,0.0,0.0,0.0,0.003968781791627407,-0.00015098118456080556,0.0026351851411163807
module.Mixed_6b.branch7x7dbl_1.conv.weight,"(128, 768, 1, 1)",98304,98304,0,0,0.0,0.0,0.0,0.0,0.0019314828095957637,9.073784167412668e-05,0.000715239904820919
module.Mixed_6b.branch7x7dbl_2.conv.weight,"(128, 128, 7, 1)",114688,114688,0,0,0.0,0.0,0.0,0.0,0.0017759725451469421,0.00010061704961117357,0.0007786720525473356
