parameter,sparsity,top1,top5,loss,variance
module.layer3.2.conv1.weight,0.6000000000000001,92.13,99.74,0.27399829961359495,0.0007566551794297993
module.layer3.2.conv1.weight,0.65,92.12,99.74,0.2738834202289581,0.0007566551794297993
module.layer3.2.conv1.weight,0.7000000000000001,92.13,99.74,0.2805359732359649,0.0007566551794297993
module.layer3.2.conv1.weight,0.75,92.13,99.74,0.2920508697628976,0.0007566551794297993
module.layer3.2.conv1.weight,0.8,92.13,99.74,0.27250843867659563,0.0007566551794297993
module.layer3.2.conv1.weight,0.8500000000000001,92.12,99.75,0.2735317312180996,0.0007566551794297993
module.layer3.2.conv1.weight,0.9,92.11,99.74,0.28169581703841673,0.0007566551794297993
module.layer3.2.conv2.weight,0.0,92.12,99.74,0.2759248714894056,0.0006215237663127482
module.layer3.2.conv2.weight,0.05,92.12,99.74,0.27671872638165945,0.0006215237663127482
module.layer3.2.conv2.weight,0.1,92.12,99.74,0.2717527762055398,0.0006215237663127482
module.layer3.2.conv2.weight,0.15000000000000002,92.12,99.74,0.27318382002413266,0.0006215237663127482
module.layer3.2.conv2.weight,0.2,92.12,99.74,0.27263024523854257,0.0006215237663127482
module.layer3.2.conv2.weight,0.25,92.12,99.74,0.2821782220155001,0.0006215237663127482
module.layer3.2.conv2.weight,0.30000000000000004,92.12,99.74,0.2709976300597191,0.0006215237663127482
module.layer3.2.conv2.weight,0.35000000000000003,92.12,99.74,0.2750861804932355,0.0006215237663127482
module.layer3.2.conv2.weight,0.4,92.12,99.74,0.27441947460174554,0.0006215237663127482
module.layer3.2.conv2.weight,0.45,92.13,99.74,0.2783119656145573,0.0006215237663127482
module.layer3.2.conv2.weight,0.5,92.12,99.74,0.28487322032451634,0.0006215237663127482
module.layer3.2.conv2.weight,0.55,92.12,99.74,0.2706618927419185,0.0006215237663127482
module.layer3.2.conv2.weight,0.6000000000000001,92.12,99.74,0.27103213965892803,0.0006215237663127482
module.layer3.2.conv2.weight,0.65,92.13,99.74,0.27694316543638703,0.0006215237663127482
module.layer3.2.conv2.weight,0.7000000000000001,92.12,99.74,0.27434795349836366,0.0006215237663127482
